review_text,processed_text,label,hotel,polarity,source
"I stayed at the Fairmont Chicago for one night - I'm a frequent business traveler and am very familiar with travel rituals. I checked in late (almost 10pm) due to flight cancellations from my home airport -- Atlanta. I took the shuttle to the airport (best option in lieu of the over priced taxis), and it was my first time staying at the hotel. Upon arrival, I immediately noticed the entrance, which appeared very welcoming and warm to me. I checked in with no problems -- and the desk person even asked if I'd prefer a king or double (reconfirming my reservation preference). I always take the king when I can, and the bed was fantastic! It was suited with great linen and these incredible down & feather pillows named Encompass made by The Pillow Factory -- I checked the tags, since I plan to buy some! I ate dinner at the hotel restaurant - Aria, which they mention they like to be considered separate from the hotel -- and YES, it does stand out all on it's own. The food is Asian fusion, and truly wonderful -- as a gourmand and life-long foodie, I appreciate great food when I taste it! The hotel service was good as well. Only drawback was the breakfast buffet at the restaurant -- seems they need to stick with their dinner theme solely. They missed the mark on relatively simply things like scrambled eggs on the buffet, which tasted a bit 'metallic'. But they made up for it by getting a special order made immediately after I passed on the buffet. I would highly recommend this hotel -- it has atmosphere and a great view (if you can get a room with one), fabulous dinner -- just pass on the breakfast buffet. 
",stayed fairmont chicago one night m frequent business traveler am very familiar travel ritual checked late almost due flight cancellation home airport atlanta took shuttle airport best option lieu over priced taxi first time staying hotel upon arrival immediately noticed entrance which appeared very welcoming warm checked no problem desk person even asked if d prefer king double reconfirming reservation preference alway take king when can bed fantastic suited great linen these incredible down feather pillow named encompass made pillow factory checked tag since plan buy some ate dinner hotel restaurant aria which they mention they like considered separate hotel yes doe stand out all s own food asian fusion truly wonderful gourmand life long foodie appreciate great food when taste hotel service good well only drawback breakfast buffet restaurant seem they need stick their dinner theme solely they missed mark relatively simply thing like scrambled egg buffet which tasted bit metallic but they made up getting special order made immediately after passed buffet would highly recommend hotel atmosphere great view if can get room one fabulou dinner just pass breakfast buffet,0,fairmont,positive,TripAdvisor
"Ok, so first trip to chicago and I was a litlle worried about the hotel and the location, finally I decided on the CONRAD and wath a good experience i had, I booked a king deluxe room on the 6th floor, view was not amazing but that was the only coplaint i could had, room is nice, bath was all appliances and good size, good plasma tv, free internet, we asked one day for breaksfast and amazing food! so overall and for the price aroufn 220 It was a great surprise, the locating was very good a few blocks from everything and very quiet hotel 
",ok so first trip chicago litlle worried about hotel location finally decided conrad wath good experience had booked king deluxe room floor view not amazing but only coplaint could had room nice bath all appliance good size good plasma tv free internet asked one day breaksfast amazing food so overall price aroufn great surprise locating very good few block everything very quiet hotel,0,conrad,positive,TripAdvisor
"We arrived at 10:30 am on a Friday, and they had a room ready for us by 11:30 am, mind you check in is not until 3:00pm. We got our room on Priceline for $65.00 per night and stayed 3 nights. We were upgraded - for free - to a suite. I think I was so blown away by that, that I forgot to thank them at check-in! Our room was fantastic. It also had a wet bar and a fridge. The bathroom was quite large and had a nice sized closet with many hangers. I knew from previous reviews to not touch the mini-bar. The bed and pillows were very comfortable. The room was very clean. Every employee there went out of their way to be friendly and helpful. We stayed on the 25th floor of the east tower and had a quiet room. Yes, you could hear people in the hallways, but only because they were rude and were yelling. These were not children, they were adults. I don't know why everyone complains about $48 for parking. This is Chicago and every other hotel we saw charged just as much, some without in/out privledges. We didn't use any of the restaurants or the health club. We tried to eat at the Corner Bakery but it was too crowded. Breakfast at nearby Houlihan's had a buffet for $9.99 per person. Also the grocery store behind the hotel is great. There is a 7-11 not too far away. I don't know why there are so many bad reviews on this hotel. Yes, it's a big hotel. If you don't want a busy lobby, don't stay in a 2,000 plus room hotel!! I loved the Hotel and would recommend it to anyone. Not one problem. Wasn't too busy for me. Would stay here again in a heartbeat. 
",arrived am friday they had room ready us am mind check not until got our room priceline per night stayed night upgraded free suite think so blown away forgot thank them check our room fantastic also had wet bar fridge bathroom quite large had nice sized closet many hanger knew previou review not touch mini bar bed pillow very comfortable room very clean every employee there went out their way friendly helpful stayed floor east tower had quiet room yes could hear people hallway but only because they rude yelling these not children they adult don t know why everyone complain about parking chicago every other hotel saw charged just much some without out privledge didn t use any restaurant health club tried eat corner bakery but too crowded breakfast nearby houlihan s had buffet per person also grocery store behind hotel great there not too far away don t know why there so many bad review hotel yes s big hotel if don t want busy lobby don t stay plu room hotel loved hotel would recommend anyone not one problem wasn t too busy would stay here again heartbeat,0,hyatt,positive,TripAdvisor
"My wife and I came to spend the weekend in downtown Chicago for shopping and we found this Conrad hotel well located close to everything downtown and of a size that doesn't make you feel lost in the Convention world. We have had this feeling when staying at larger hotels in the past. Our Suite has view on Michigan avenue with a bit of the Lake at the end. Staff was very professional, pleasant and friendly making us feel very comfortable. Internet is free n the rooms and I am making my review from there. 
",wife came spend weekend downtown chicago shopping found conrad hotel well located close everything downtown size doesn t make feel lost convention world have had feeling when staying larger hotel past our suite view michigan avenue bit lake end staff very professional pleasant friendly making us feel very comfortable internet free n room am making review there,0,conrad,positive,TripAdvisor
"I got a Sunday night stay for only $50 off of Priceline.com, so it would be hard to complain...but this was truly a great hotel, even if I paid double. The first impression you get when you walk through the sliding doors of the Hyatt Regency Chicago is WOW. The lobby is beautiful with a upscale mall type of look to it with an open area that has a restaurant, plenty of couches,seats etc to people watch and a lake with water fountains. You take the escalator to the concierge/directory/check in area. The hotel let me check in at 12pm (I had a 3pm check in time). I suggest you call ahead like I did so they know you are coming early.The women at the desk was friendly and when I requested a higher level floor she was more than happy to look it up and even told me 'I have a room on the 18th floor with a veiw of the river or you can go higher with no view'. I thought it was pretty nice to give me that information so that I wouldnt get stuck with a room with a view of a wall. The rooms are big (I had a doubles room) The beds were beautiful with great pillows,blankets,headboards etc. An Ipod alarm clock was a nice 21st century touch to the room. Great to plug in your ipod, listen to some music and get ready for a night out or when relaxing after a long day of touring Chicago. The view was very nice and the bathroom was spotless and had great toiletries. Another great feature is the concierge area's computers that gives you access to printing your boarding pass before you get to the airport. You simply look at the screen, click on your airline icon and following the instructions. I had my boarding passes in about a minute. Came in handy when I got to OHare and was able to skip a long line of frustrated passengers. I was only in the hotel for 1 day, but it was by far one of the better hotel experiences I have had and I travel alot. It is a business hotel, but definitely a great choice for families and couples. Definitely would stay here again when Im passing through Chicago. 
",got sunday night stay only off priceline com so would hard complain but truly great hotel even if paid double first impression get when walk through sliding door hyatt regency chicago wow lobby beautiful upscale mall type look open area restaurant plenty couche seat etc people watch lake water fountain take escalator concierge directory check area hotel let check had check time suggest call ahead like did so they know coming early women desk friendly when requested higher level floor she more than happy look up even told have room floor veiw river can go higher no view thought pretty nice give information so wouldnt get stuck room view wall room big had double room bed beautiful great pillow blanket headboard etc ipod alarm clock nice century touch room great plug your ipod listen some music get ready night out when relaxing after long day touring chicago view very nice bathroom spotless had great toiletry another great feature concierge area s computer give access printing your boarding pass before get airport simply look screen click your airline icon following instruction had boarding passe about minute came handy when got ohare able skip long line frustrated passenger only hotel day but far one better hotel experience have had travel alot business hotel but definitely great choice family couple definitely would stay here again when im passing through chicago,0,hyatt,positive,TripAdvisor
"This is a superb hotel. The rooms are huge, including a luxurious bathroom. It is clean and service is first rate. Breakfast was excellent (and complimentary for Hilton Honors members). Hotel is in a good location, and is connected to a mall, which I imagine would be a great asset in the Chicago winter. Next time I go to Chicago, I will stay here for sure. 
",superb hotel room huge including luxuriou bathroom clean service first rate breakfast excellent complimentary hilton honor member hotel good location connected mall which imagine would great asset chicago winter next time go chicago will stay here sure,0,conrad,positive,TripAdvisor
"We stayed at the Conrad for 2 nights for a friends reunion. The room was clean and new feeling, nice city view, free bottled water in room upon arrival. Check in was a breeze, and our room was ready even though we were several hours early. All staff was friendly and helpful, excellent breakfast. 
",stayed conrad night friend reunion room clean new feeling nice city view free bottled water room upon arrival check breeze our room ready even though several hour early all staff friendly helpful excellent breakfast,0,conrad,positive,TripAdvisor
"The Conrad Hotel is a beautiful hotel. Our room was perfect and beautiful in every way. I was very impressed (and I am hard to please and have high standards). It was so clean, aesthetically pleasing, up to date, just gorgeous! I would definitely stay there again. I loved it. The location is superb too, attached to Nordstrom and Northbridge mall. Can't wait to go back! 
",conrad hotel beautiful hotel our room perfect beautiful every way very impressed am hard please have high standard so clean aesthetically pleasing up date just gorgeou would definitely stay there again loved location superb too attached nordstrom northbridge mall can t wait go back,0,conrad,positive,TripAdvisor
"My boyfriend and I decided to stay at the Conrad Chicago for our anniversary. The second we walked in, we were immediately won over by the look and feel of the room. White luxurous bedding on the King bed, plasma t.v./ subroofer/ surround sound speakers (my boyfriend was more impressed than me, as I reminded him that we didn't come to Chicago for the hotel room) very large bathroom w/ tub and separate stand-in shower, granite countertops, his/ her robes and slippers. The view wasn't great, but we were on the 6th floor and not really high enough to see anything but the side of the building next to us. Not a large room by any means, but again . . . we didn't go to the city for the hotel room. It was the prefect size for the amount of time we were actually in the room. We got a great rate on it ($140 at hotels.com) but I think the going rate is usually closer to mid $200's. I've stayed in quite a few hotels in the downtown area and none have ever impressed me more than this one. We will definitely be staying there again on our next trip into the city. 
",boyfriend decided stay conrad chicago our anniversary second walked immediately won over look feel room white luxurou bedding king bed plasma t v subroofer surround sound speaker boyfriend more impressed than reminded him didn t come chicago hotel room very large bathroom w tub separate stand shower granite countertop his her robe slipper view wasn t great but floor not really high enough see anything but side building next us not large room any mean but again didn t go city hotel room prefect size amount time actually room got great rate hotel com but think going rate usually closer mid s ve stayed quite few hotel downtown area none have ever impressed more than one will definitely staying there again our next trip into city,0,conrad,positive,TripAdvisor
"Got a good deal on a weekend pacage in this Hotel and have to say it is the nicest stay I have had in more than a dozen business trips to Chicago. All rooms are Suites, staff is friendly and professional, Restaurant is out of this world and all the extras like a great health club, turn down service, complimentary morning beverages delivered to room and on and on. Room was very clean and every need was attended to without feeling intruded on. Will definately stay here again. 
",got good deal weekend pacage hotel have say nicest stay have had more than dozen business trip chicago all room suite staff friendly professional restaurant out world all extra like great health club turn down service complimentary morning beverage delivered room room very clean every need attended without feeling intruded will definately stay here again,0,omni,positive,TripAdvisor
"I stayed at the Fairmont for a few nights and found the whole experience excellent. I was given a very large room with great views of the city; the breakfast was extremely good; and the location was as central as I could have wished for. The pool was not large but felt luxurious and was great for early morning swims. In the evening I spent some time in the hotel bar with friends and that was excellent too. Highly recommended as a base for exploring Chicago. 
",stayed fairmont few night found whole experience excellent given very large room great view city breakfast extremely good location central could have wished pool not large but felt luxuriou great early morning swim evening spent some time hotel bar friend excellent too highly recommended base exploring chicago,0,fairmont,positive,TripAdvisor
"We went to Chicago to see an exhibit at the Art Institute and selected the Fairmont because it was so close. Although the lobby is still being renovated, our experience at the hotel was uniformly positive. The room was nicely sized and newly remodeled and immaculate. The only glitch involved getting the room coffee replenished. The maid does not do that, and by bedtime on the first night, we still didn't have coffee. We called the front desk and they immediately delivered a fresh supply. The restaurant is a little underwhelming, but with so many other places to go within a very few blocks, we probably wouldn't have eaten there any more than we did. After having stayed in close to a dozen different Chicago hotels, this may be the hotel we return to whenever we return. 
",went chicago see exhibit art institute selected fairmont because so close although lobby still being renovated our experience hotel uniformly positive room nicely sized newly remodeled immaculate only glitch involved getting room coffee replenished maid doe not do bedtime first night still didn t have coffee called front desk they immediately delivered fresh supply restaurant little underwhelming but so many other place go within very few block probably wouldn t have eaten there any more than did after having stayed close dozen different chicago hotel may hotel return whenever return,0,fairmont,positive,TripAdvisor
"I actually booked this reservation with the hotel over the phone and got a great rate -- much lower than the usual price! It was a lovely hotel, beautifully appointed, walking distance from the places we wanted to go. We would highly recommend the Fairmont. 
",actually booked reservation hotel over phone got great rate much lower than usual price lovely hotel beautifully appointed walking distance place wanted go would highly recommend fairmont,0,fairmont,positive,TripAdvisor
"Named my price on priceline. $50.00 Bucks. Hotel room was great. Clean, Clean and new. Fresh crisp sheets, comfortable bed, flat screen TV, clean carpet, nice bath, etc. Short distance to food and sightseeing. I highly recommend this property. Be prepared to pay over $40.00 per night to park. Hey, Its a hyatt. They also charge $5.00 for a bottle of water that is normally a buck. For a total of $100.00 nightly stay in Chicago this place is it just don't drink the bottled water. Happy Travels 
",named price priceline buck hotel room great clean clean new fresh crisp sheet comfortable bed flat screen tv clean carpet nice bath etc short distance food sightseeing highly recommend property prepared pay over per night park hey hyatt they also charge bottle water normally buck total nightly stay chicago place just don t drink bottled water happy travel,0,hyatt,positive,TripAdvisor
"Check-in was fast, the room was perfect, and there were no problems. This is a standard big-city business hotel with every amenity imaginable. I got a very good deal for a one-night stay, but they made the money back from the exorbitant parking rate and the absurd access fee for wireless internet. If you are bored of the routine hotel fare, walk two blocks to Gourmet Pantry (155 N. Michigan) for a refreshing change. 
",check fast room perfect there no problem standard big city business hotel every amenity imaginable got very good deal one night stay but they made money back exorbitant parking rate absurd access fee wireless internet if bored routine hotel fare walk two block gourmet pantry n michigan refreshing change,0,hyatt,positive,TripAdvisor
"Arrived on 06/04/05, greeted by friendly doorman, and zipped up to the 5th Floor Lobby. Very open lobby area with friendly reception staff. Room was on the 12th Floor and very nice. Everything was in order and very clean! The king size bed was nice and each night I had a restful sleep. Bathroom was large with separate glass shower stall. The room was furnished with everything I needed including internet hook-up access. Also, you can walk thru on the 5th Fl to the Westfield North Bridge Shopping Mall, where you will enjoy Nordstrom and other stores. Of course, you're steps from Michigan Ave. too. The central location of the hotel was great, as I could walk to most places. The CTA Subway stop (Grand Ave. on Red Line) was an easy 2 block walk. I will stay here again on my next trip to Chicago! 
",arrived greeted friendly doorman zipped up floor lobby very open lobby area friendly reception staff room floor very nice everything order very clean king size bed nice each night had restful sleep bathroom large separate glass shower stall room furnished everything needed including internet hook up access also can walk thru fl westfield north bridge shopping mall where will enjoy nordstrom other store course re step michigan ave too central location hotel great could walk most place cta subway stop grand ave red line easy block walk will stay here again next trip chicago,0,conrad,positive,TripAdvisor
"Simply a nice place to stay... I had a great deal for the room, and was impressed with the quality. Hotel staff was very helpful; they were able to let me check out and helped me print boarding passes. Negative: It is frustrating that nowadays you do not have free internet in most hotels and it's the same here; you have to pay for the internet. Negative: Loud on the phone you may hear your neighbors on the phone, or them shower. 
",simply nice place stay had great deal room impressed quality hotel staff very helpful they able let check out helped print boarding passe negative frustrating nowaday do not have free internet most hotel s same here have pay internet negative loud phone may hear your neighbor phone them shower,0,fairmont,positive,TripAdvisor
"We stayed at the Conrad for only one evening but it was such an amazing room we would have liked to stay longer! We were on the newly renovated 9th floor and the room was gorgeous and super clean! There was a flat screen, bose sound system and even an Ihome for our Ipod. Wireless was free and they bring you a free bottle of water at turn down. Everyone was very helpful and so friendly. We can't wait to go back again! 
",stayed conrad only one evening but such amazing room would have liked stay longer newly renovated floor room gorgeou super clean there flat screen bose sound system even ihome our ipod wireless free they bring free bottle water turn down everyone very helpful so friendly can t wait go back again,0,conrad,positive,TripAdvisor
"We spent a week in this hotel and were very pleased with the experience. As described in previous reviews. the room was very comfortable with the huge televison and bathroom being particularly outstanding. Service was excellent overall (I especially liked the bottle of water at my bedside with the turn down service). The door and bellmen/women were particularly pleasant and helpful and the concierge was friendly and knowledgeable. We had completely satisfactory (though overpriced) drinks in the bar but didn't eat at the restaurant. The health club was fine and the equipment was well maintained. While there were only three treadmills and two elipitical steppers, I never had to wait for a machine although it might be a different story in the dead of a Chicago winter! One minor quibble--I like to have coffee first thing in the morning and there was no in-room coffee maker. The restaurant offered free coffee 'to-go' but only before eight AM. This is a very, very comfortable, attractive hotel in a wonderful location. Chicago is an expensive city but we felt that we got a reasonable value for our money. 
",spent week hotel very pleased experience described previou review room very comfortable huge televison bathroom being particularly outstanding service excellent overall especially liked bottle water bedside turn down service door bellmen women particularly pleasant helpful concierge friendly knowledgeable had completely satisfactory though overpriced drink bar but didn t eat restaurant health club fine equipment well maintained while there only three treadmill two elipitical stepper never had wait machine although might different story dead chicago winter one minor quibble like have coffee first thing morning there no room coffee maker restaurant offered free coffee go but only before eight am very very comfortable attractive hotel wonderful location chicago expensive city but felt got reasonable value our money,0,conrad,positive,TripAdvisor
"I booked a room at the Hyatt through Priceline and was able to get a rate of $45/night! Can't go wrong with that! The rooms are nice, spacious, clean and contain all the amenties a traveler would need. I have to say that I have fallen in love with the Hyatt chain due to their customer service. I have stayed at a few of their hotels in different cities and the staff has always been extremely friendly, which you don't often see at other hotels. I used the self-check in machine, and the customer service person checked in on me to make sure everything was going smoothly. Then, when she saw that my room was not on a high level, she offered to have it changed for me so that I could have a better view. I would highly recommend this hotel! 
",booked room hyatt through priceline able get rate night can t go wrong room nice spaciou clean contain all amenty traveler would need have say have fallen love hyatt chain due their customer service have stayed few their hotel different city staff alway been extremely friendly which don t often see other hotel used self check machine customer service person checked make sure everything going smoothly then when she saw room not high level she offered have changed so could have better view would highly recommend hotel,0,hyatt,positive,TripAdvisor
"This hotel is the perfect location for downtown Chicago shopping. The only thing is the pool is extremely small - it is indoors, but looks much larger on the website. 
",hotel perfect location downtown chicago shopping only thing pool extremely small indoor but look much larger website,0,omni,positive,TripAdvisor
"The Omni is in a fabulous location on Michigan Avenue. Within just blocks are all types of stores, including Saks, Nordstroms, H&M, Filenes Basement, Macys, La Perla, Apple, Bloomingdates.....I could go on and on! The room itself was fabulous. Comfortable, nice big flat screen tvs, nice sized bathroom. They charge for Wi-Fi, but we found if we clicked yes on joining their guest program we could then go from the sign-on screen right to our email without actually completing the registration. We got this hotel for $214/night through Priceline and felt it was a terrific deal! 
",omni fabulou location michigan avenue within just block all type store including sak nordstrom h m filene basement macy la perla apple bloomingdate could go room itself fabulou comfortable nice big flat screen tvs nice sized bathroom they charge wi fi but found if clicked yes joining their guest program could then go sign screen right our email without actually completing registration got hotel night through priceline felt terrific deal,0,omni,positive,TripAdvisor
"Stayed in a Junior Suite which was beautiful and spacious. It had the largest flat screen tv I have ever seen in a hotel (great excuse to catch up on some movies) The breakfast buffet was great and was served in the hotels huge atrium which was nice. The service was top notch. Stayed in a lower floor in the East tower which was great as there was no waits for an elevator and they were always empty. The Shed aquarium was a complete waste of time and money but the Field musium was amazing. Chicago remains tied with London as my favourite city. 
",stayed junior suite which beautiful spaciou had largest flat screen tv have ever seen hotel great excuse catch up some movy breakfast buffet great served hotel huge atrium which nice service top notch stayed lower floor east tower which great there no wait elevator they alway empty shed aquarium complete waste time money but field musium amazing chicago remain tied london favourite city,0,hyatt,positive,TripAdvisor
